"gender","race","parental_level_of_education","lunch","test_preparation_course","math_score","reading_score","writing_score"
"male","group D","some college","free/reduced","none","81","86","81"
"male","group D","bachelor's degree","free/reduced","completed","66","53","60"
"female","group B","high school","standard","completed","83","97","96"
"male","group E","high school","free/reduced","completed","75","71","71"
"male","group C","bachelor's degree","free/reduced","none","66","69","67"
"female","group E","some high school","free/reduced","none","74","92","83"
"female","group D","some high school","standard","completed","79","85","87"
"female","group C","high school","standard","none","81","93","88"
"male","group E","some high school","free/reduced","none","73","56","51"
"female","group B","some high school","standard","none","64","71","68"
"male","group A","high school","free/reduced","none","64","59","59"
"female","group B","associate's degree","free/reduced","completed","57","65","71"
"female","group B","some high school","standard","none","36","45","43"
"male","group D","some high school","free/reduced","none","48","56","49"
"male","group B","high school","standard","none","84","87","83"
"female","group D","some high school","standard","none","61","71","70"
"male","group B","some high school","standard","none","59","57","49"
"female","group C","associate's degree","free/reduced","completed","35","50","46"
"male","group E","high school","standard","none","78","69","67"
"female","group E","some college","standard","none","75","90","86"
"female","group E","associate's degree","free/reduced","none","70","68","72"
"female","group D","high school","free/reduced","completed","45","63","66"
"female","group E","some college","standard","none","68","77","73"
"male","group E","associate's degree","free/reduced","none","89","86","78"
"female","group D","associate's degree","free/reduced","none","55","72","77"
"male","group C","some college","free/reduced","completed","57","57","57"
"female","group B","associate's degree","standard","none","81","93","88"
"female","group D","associate's degree","standard","completed","66","75","76"
"female","group C","some college","free/reduced","completed","33","46","51"
"female","group C","associate's degree","free/reduced","completed","78","93","85"
"male","group D","some high school","free/reduced","none","82","77","69"
"male","group B","some high school","standard","completed","84","82","80"
"male","group B","some high school","free/reduced","none","40","34","32"
"female","group C","associate's degree","standard","completed","71","81","74"
"male","group C","some college","free/reduced","completed","86","87","87"
"female","group D","some high school","standard","none","51","72","75"
"female","group A","associate's degree","standard","none","78","81","77"
"female","group B","some college","standard","none","56","65","58"
"female","group A","some college","free/reduced","none","37","50","48"
"male","group E","some high school","standard","completed","81","81","80"
"male","group B","some high school","standard","completed","62","52","47"
"female","group C","high school","standard","completed","77","90","95"
"female","group E","some college","standard","none","67","81","75"
"female","group C","some college","standard","none","58","74","65"
"female","group C","some high school","standard","completed","68","93","89"
"female","group C","associate's degree","standard","none","75","80","80"
"female","group C","high school","standard","none","78","80","79"
"female","group D","some college","standard","none","72","66","76"
"male","group A","high school","standard","none","81","79","72"
"female","group C","associate's degree","free/reduced","none","27","40","37"
"male","group C","some college","standard","none","38","39","36"
"male","group D","associate's degree","free/reduced","none","53","46","41"
"female","group B","some high school","standard","none","79","92","87"
"female","group B","some college","standard","none","42","46","42"
"female","group A","high school","free/reduced","completed","51","66","62"
"female","group E","associate's degree","free/reduced","none","67","70","64"
"female","group A","high school","free/reduced","completed","69","82","82"
"female","group D","some college","standard","none","84","93","91"
"male","group C","some high school","free/reduced","none","64","64","53"
"male","group C","bachelor's degree","standard","none","60","60","58"
"male","group C","associate's degree","standard","completed","72","63","71"
"female","group A","high school","standard","none","54","66","61"
"male","group B","some college","standard","completed","59","48","52"
"male","group B","some college","standard","none","83","88","81"
"female","group C","high school","free/reduced","none","47","64","58"
"female","group C","bachelor's degree","standard","none","59","57","60"
"female","group C","high school","free/reduced","completed","70","77","80"
"male","group B","high school","free/reduced","none","44","46","36"
"female","group B","high school","standard","completed","83","88","88"
"female","group B","associate's degree","free/reduced","none","52","73","62"
"female","group D","some high school","free/reduced","completed","51","70","71"
"female","group B","bachelor's degree","standard","none","78","78","82"
"male","group E","bachelor's degree","standard","none","91","84","73"
"male","group C","bachelor's degree","standard","completed","98","96","97"
"male","group D","associate's degree","standard","completed","51","44","50"
"male","group C","associate's degree","standard","none","69","68","65"
"female","group C","bachelor's degree","standard","none","68","69","74"
"female","group B","associate's degree","standard","none","64","79","76"
"male","group E","some high school","free/reduced","completed","64","65","66"
"female","group B","high school","free/reduced","none","42","48","48"
"female","group C","associate's degree","free/reduced","completed","59","71","68"
"male","group C","high school","free/reduced","none","57","58","54"
"female","group C","bachelor's degree","free/reduced","completed","54","60","58"
"male","group C","some high school","standard","completed","67","74","69"
"male","group B","associate's degree","standard","completed","55","55","53"
"male","group D","associate's degree","standard","none","78","72","70"
"male","group E","high school","standard","completed","78","71","67"
"female","group C","some high school","standard","none","83","95","91"
"male","group B","associate's degree","standard","none","89","89","84"
"male","group E","associate's degree","standard","completed","91","95","85"
"male","group E","high school","standard","none","62","54","58"
"female","group A","some high school","standard","none","78","87","82"
"male","group B","associate's degree","standard","none","69","59","61"
"male","group C","bachelor's degree","free/reduced","completed","77","75","70"
"male","group E","some college","standard","completed","72","59","62"
"female","group D","associate's degree","free/reduced","none","48","57","58"
"female","group C","bachelor's degree","standard","none","56","61","64"
"male","group B","some college","standard","completed","65","71","65"
"male","group D","some high school","standard","completed","68","58","63"
"female","group E","high school","standard","completed","61","63","64"
"female","group C","some college","standard","none","66","69","69"
"female","group D","bachelor's degree","standard","none","64","75","77"
"female","group B","associate's degree","standard","none","46","62","53"
"male","group C","associate's degree","free/reduced","none","61","57","48"
"female","group E","some high school","standard","none","73","76","79"
"female","group B","high school","free/reduced","none","41","62","52"
"male","group D","some high school","standard","none","63","57","53"
"male","group C","high school","standard","none","56","55","54"
"female","group C","master's degree","free/reduced","none","74","74","78"
"female","group C","some college","standard","none","63","75","68"
"male","group C","high school","standard","none","63","57","52"
"female","group A","associate's degree","standard","none","42","51","46"
"female","group C","some high school","standard","none","67","73","72"
"male","group B","associate's degree","standard","none","80","71","66"
"female","group D","master's degree","standard","none","76","78","84"
"male","group C","bachelor's degree","free/reduced","none","64","70","65"
"female","group C","some college","standard","completed","78","89","90"
"female","group E","some college","standard","none","81","89","86"
"female","group C","some college","free/reduced","none","55","67","66"
"female","group C","high school","standard","none","61","75","73"
"male","group D","associate's degree","standard","none","62","53","53"
"male","group E","some college","standard","completed","100","100","100"
"female","group B","some high school","standard","none","49","62","64"
"female","group B","associate's degree","free/reduced","none","52","68","66"
"male","group D","high school","standard","completed","61","61","64"
"male","group D","high school","standard","completed","98","93","91"
"female","group E","some high school","standard","none","65","80","73"
"female","group B","some college","free/reduced","none","66","71","69"
"male","group B","associate's degree","free/reduced","none","57","60","54"
"male","group D","associate's degree","standard","completed","86","77","84"
"female","group C","associate's degree","standard","completed","80","94","99"
"female","group C","associate's degree","free/reduced","none","40","58","53"
"female","group E","some college","standard","completed","84","77","85"
"female","group D","bachelor's degree","standard","none","54","71","70"
"female","group B","associate's degree","free/reduced","none","81","86","80"
"female","group B","bachelor's degree","standard","none","76","83","80"
"female","group A","associate's degree","free/reduced","none","71","87","88"
"female","group B","master's degree","standard","none","45","50","53"
"male","group D","some college","standard","none","79","66","70"
"male","group B","high school","standard","none","81","84","76"
"male","group C","master's degree","standard","completed","67","67","63"
"male","group C","some college","standard","none","93","86","78"
"female","group D","bachelor's degree","standard","completed","69","90","87"
"male","group D","bachelor's degree","standard","none","73","69","66"
"male","group B","high school","standard","completed","58","66","68"
"female","group B","master's degree","standard","completed","89","89","92"
"male","group D","some high school","standard","completed","88","85","86"
"male","group D","high school","free/reduced","none","70","63","60"
"female","group C","some college","standard","none","79","85","83"
"female","group C","high school","free/reduced","none","28","43","42"
"female","group C","high school","standard","none","56","59","58"
"male","group B","master's degree","standard","completed","85","76","78"
"female","group D","bachelor's degree","standard","none","52","62","62"
"female","group D","high school","standard","none","43","47","55"
"male","group C","associate's degree","standard","completed","80","76","72"
"male","group D","some college","free/reduced","none","71","76","76"
"female","group D","associate's degree","free/reduced","completed","67","90","91"
"male","group B","some college","standard","completed","55","60","60"
"male","group E","associate's degree","standard","none","85","65","62"
"male","group C","high school","free/reduced","none","51","49","39"
"female","group C","high school","standard","none","59","58","66"
"male","group D","high school","free/reduced","none","55","53","58"
"male","group A","some high school","standard","none","68","72","66"
"female","group C","high school","standard","completed","63","62","70"
"female","group D","associate's degree","free/reduced","none","53","66","61"
"female","group C","associate's degree","free/reduced","none","68","76","74"
"male","group B","some college","standard","none","62","69","60"
"male","group C","some college","free/reduced","none","70","70","63"
"female","group A","some college","free/reduced","completed","40","47","47"
"female","group E","some college","free/reduced","none","86","84","85"
"male","group B","some high school","standard","none","60","66","58"
"female","group A","some high school","standard","completed","65","77","79"
"female","group D","high school","free/reduced","none","55","73","70"
"male","group B","high school","standard","completed","84","81","76"
"female","group A","some college","free/reduced","none","53","70","65"
"female","group D","bachelor's degree","standard","none","51","66","64"
"male","group D","bachelor's degree","standard","none","70","69","69"
"male","group B","some college","standard","none","83","78","70"
"male","group D","some college","standard","none","58","56","54"
"male","group D","bachelor's degree","standard","completed","79","71","83"
"male","group C","associate's degree","standard","none","74","67","65"
"male","group C","some high school","standard","completed","55","46","48"
"male","group D","associate's degree","standard","completed","85","81","81"
"male","group D","some college","free/reduced","none","65","63","58"
"female","group B","some high school","standard","none","70","81","74"
"female","group C","high school","standard","completed","75","80","84"
"male","group E","some college","standard","completed","94","89","91"
"male","group B","some high school","standard","none","52","55","49"
"female","group B","some college","standard","none","57","61","64"
"female","group C","some high school","standard","completed","81","92","91"
"male","group C","some college","free/reduced","none","67","64","63"
"female","group B","associate's degree","free/reduced","none","53","57","51"
"male","group A","bachelor's degree","standard","completed","83","87","89"
"female","group C","bachelor's degree","free/reduced","completed","50","67","61"
"male","group B","some college","standard","none","66","68","59"
"male","group D","associate's degree","standard","completed","67","51","56"
"male","group B","some high school","standard","completed","74","74","77"
"male","group E","some high school","standard","none","66","56","58"
"male","group D","bachelor's degree","free/reduced","completed","70","74","68"
"male","group C","some high school","standard","none","49","44","40"
"female","group D","bachelor's degree","standard","completed","94","100","100"
"male","group C","some high school","free/reduced","completed","48","51","44"
"male","group C","bachelor's degree","standard","completed","75","74","79"
"female","group D","high school","standard","completed","83","89","94"
"female","group B","associate's degree","free/reduced","none","65","68","64"
"female","group D","some college","free/reduced","none","74","86","81"
"female","group B","high school","free/reduced","none","50","58","61"
"male","group C","associate's degree","standard","completed","92","89","93"
"male","group D","high school","standard","none","82","71","68"
"female","group B","some college","free/reduced","none","38","56","51"
"female","group C","bachelor's degree","standard","none","77","75","79"
"female","group C","associate's degree","standard","completed","57","66","64"
"male","group A","high school","standard","completed","86","82","86"
"male","group E","associate's degree","standard","none","82","71","75"
"female","group B","bachelor's degree","free/reduced","none","46","68","62"
"female","group D","bachelor's degree","standard","completed","88","96","99"
"female","group E","high school","standard","completed","80","85","89"
"female","group B","some college","standard","none","53","61","61"
"male","group D","bachelor's degree","standard","completed","100","86","92"
"female","group E","bachelor's degree","standard","none","73","80","79"
"male","group B","some high school","standard","none","57","52","45"
"female","group A","associate's degree","free/reduced","none","35","53","52"
"male","group D","some high school","standard","completed","100","85","86"
"female","group C","some college","free/reduced","completed","65","80","78"
"male","group E","some college","standard","completed","87","81","82"
"male","group D","some college","free/reduced","none","31","27","38"
"male","group A","associate's degree","free/reduced","completed","50","60","61"
"female","group E","some college","standard","completed","75","71","78"
"female","group B","high school","standard","none","69","76","69"
"female","group C","master's degree","free/reduced","none","30","38","37"
"female","group B","associate's degree","free/reduced","none","34","58","52"
"male","group C","bachelor's degree","standard","none","63","68","66"
"male","group D","high school","standard","completed","94","84","91"
"female","group B","some college","standard","none","64","72","79"
"male","group C","bachelor's degree","free/reduced","none","66","51","53"
"female","group C","some high school","standard","none","70","76","71"
"female","group B","some college","standard","none","66","80","81"
"female","group C","associate's degree","standard","completed","92","100","100"
"female","group C","high school","free/reduced","none","52","64","58"
"female","group E","associate's degree","free/reduced","completed","95","100","99"
"male","group C","high school","standard","completed","72","73","68"
"female","group C","high school","standard","none","61","68","62"
"male","group C","bachelor's degree","free/reduced","none","70","72","71"
"female","group C","some college","free/reduced","none","47","56","56"
"female","group C","some high school","standard","none","70","74","74"
"male","group C","some high school","standard","none","63","59","54"
"male","group A","associate's degree","standard","none","63","49","51"
"male","group C","some high school","standard","none","74","81","75"
"male","group E","some college","standard","completed","85","80","78"
"male","group B","some college","standard","none","88","74","69"
"female","group D","associate's degree","free/reduced","none","70","90","94"
"male","group B","associate's degree","free/reduced","completed","39","46","45"
"male","group D","associate's degree","free/reduced","none","74","58","61"
"female","group C","some high school","standard","none","53","64","61"
"male","group D","some college","standard","none","22","17","17"
"female","group E","associate's degree","standard","none","64","74","70"
"male","group C","high school","free/reduced","completed","41","41","40"
"male","group C","bachelor's degree","free/reduced","none","53","52","44"
"female","group E","high school","free/reduced","none","48","64","57"
"male","group E","associate's degree","standard","none","77","81","70"
"male","group B","some college","standard","none","63","57","57"
"male","group C","some college","free/reduced","none","48","51","45"
"male","group C","associate's degree","free/reduced","none","55","63","54"
"female","group D","high school","standard","completed","44","44","49"
"male","group E","some college","standard","none","61","54","49"
"male","group D","associate's degree","standard","completed","89","82","85"
"male","group C","some high school","standard","completed","86","94","90"
"female","group B","bachelor's degree","free/reduced","none","75","84","86"
"male","group A","high school","standard","completed","89","92","89"
"male","group E","associate's degree","free/reduced","none","72","79","66"
"female","group D","some college","standard","completed","54","67","67"
"male","group B","some high school","standard","none","59","56","48"
"male","group D","bachelor's degree","free/reduced","completed","96","98","93"
"male","group C","high school","standard","completed","67","68","72"
"male","group C","associate's degree","standard","none","70","65","60"
"male","group D","high school","standard","completed","98","89","90"
"female","group C","bachelor's degree","free/reduced","none","73","93","86"
"female","group E","high school","standard","none","73","63","66"
"male","group B","high school","standard","none","81","75","68"
"female","group D","associate's degree","free/reduced","none","59","67","67"
"male","group E","some college","free/reduced","none","60","62","52"
"male","group D","some college","standard","completed","78","71","75"
"male","group B","some college","standard","none","62","59","52"
"male","group A","some high school","standard","none","65","59","60"
"male","group D","some college","free/reduced","none","51","58","51"
"female","group C","some college","free/reduced","none","50","56","57"
"female","group C","some college","standard","none","56","58","56"
"female","group A","master's degree","free/reduced","none","41","47","51"
"male","group B","some high school","standard","completed","94","91","86"
"male","group D","high school","standard","none","65","56","50"
"female","group C","some high school","standard","completed","81","96","99"
"male","group E","some high school","standard","none","85","70","75"
"female","group D","associate's degree","free/reduced","none","65","75","73"
"female","group E","some college","standard","none","70","66","63"
"female","group D","bachelor's degree","free/reduced","completed","50","73","72"
"female","group D","some college","standard","completed","79","90","91"
"male","group E","associate's degree","standard","none","81","67","70"
"female","group C","some college","standard","none","82","86","86"
"male","group C","some high school","free/reduced","none","71","57","58"
"female","group C","master's degree","standard","completed","54","58","71"
"female","group D","some college","standard","none","70","83","83"
"female","group A","associate's degree","standard","none","60","69","61"
"male","group D","bachelor's degree","standard","none","87","75","77"
"male","group B","some college","standard","none","78","66","63"
"male","group C","high school","free/reduced","completed","42","55","60"
"male","group C","some high school","standard","completed","100","94","91"
"male","group D","bachelor's degree","standard","none","70","68","64"
"male","group B","some high school","free/reduced","none","67","68","59"
"male","group B","associate's degree","free/reduced","none","70","68","65"
"female","group C","associate's degree","standard","completed","69","78","81"
"female","group E","associate's degree","free/reduced","none","67","72","69"
"male","group D","associate's degree","free/reduced","none","58","60","57"
"female","group C","bachelor's degree","standard","none","61","81","78"
"male","group D","high school","standard","none","65","56","53"
"female","group D","some high school","standard","completed","71","76","82"
"male","group D","some college","standard","completed","68","58","65"
"male","group E","some high school","standard","none","89","73","69"
"male","group C","some college","free/reduced","none","49","48","44"
"male","group C","high school","free/reduced","none","59","67","55"
"female","group D","some high school","free/reduced","completed","64","87","86"
"male","group B","bachelor's degree","free/reduced","none","60","57","53"
"female","group D","some college","standard","none","68","77","74"
"female","group C","some high school","standard","none","60","61","63"
"male","group D","some college","standard","completed","52","60","61"
"female","group D","some college","standard","none","73","87","88"
"female","group C","some college","standard","completed","50","64","63"
"male","group B","associate's degree","standard","none","59","66","56"
"female","group D","some high school","standard","none","72","77","75"
"male","group D","master's degree","standard","none","92","96","93"
"female","group D","some high school","standard","completed","83","100","98"
"female","group C","high school","standard","none","64","69","71"
"male","group B","master's degree","free/reduced","none","68","63","56"
"female","group D","some high school","standard","completed","52","77","73"
"male","group B","associate's degree","standard","none","81","79","73"
"male","group B","some high school","standard","none","40","43","33"
"female","group E","some college","standard","none","83","80","81"
"male","group C","some high school","standard","none","47","40","39"
"male","group D","master's degree","free/reduced","completed","80","78","76"
"female","group A","bachelor's degree","standard","none","69","69","78"
"male","group E","some college","standard","none","82","72","73"
"male","group D","master's degree","standard","none","59","47","54"
"female","group C","associate's degree","standard","none","63","52","59"
"female","group D","high school","free/reduced","none","57","66","68"
"male","group E","bachelor's degree","standard","completed","95","84","87"
"male","group E","some high school","standard","none","79","72","66"
"female","group C","some college","free/reduced","none","38","47","45"
"male","group B","high school","standard","completed","59","59","59"
"male","group B","bachelor's degree","standard","none","74","61","61"
"female","group B","some college","standard","none","92","83","90"
"female","group A","some college","standard","none","52","61","62"
"female","group D","some high school","free/reduced","completed","69","78","82"
"male","group C","associate's degree","standard","completed","80","79","83"
"male","group D","some high school","free/reduced","completed","55","49","51"
"female","group B","bachelor's degree","standard","none","80","90","89"
"male","group C","some high school","standard","none","72","67","70"
"male","group A","high school","standard","none","48","54","46"
"female","group B","some college","standard","completed","76","85","84"
"female","group D","some college","standard","completed","87","97","98"
"male","group C","some college","free/reduced","none","80","68","68"
"male","group C","associate's degree","standard","none","55","60","51"
"male","group C","associate's degree","standard","none","80","80","73"
"male","group E","some college","free/reduced","completed","53","52","52"
"male","group C","high school","standard","none","45","45","37"
"female","group C","master's degree","standard","none","48","59","65"
"female","group E","some college","standard","none","87","89","94"
"female","group B","high school","free/reduced","none","18","25","24"
"female","group C","bachelor's degree","free/reduced","none","66","75","66"
"female","group C","high school","standard","none","73","85","85"
"female","group D","some college","standard","none","70","69","75"
"female","group C","master's degree","standard","completed","78","87","84"
"male","group B","associate's degree","free/reduced","none","38","37","33"
"female","group D","bachelor's degree","free/reduced","none","48","55","54"
"male","group E","some high school","standard","completed","77","72","71"
"female","group D","some college","free/reduced","none","53","57","56"
"female","group E","some high school","standard","completed","79","87","89"
"female","group B","some college","free/reduced","none","57","67","62"
"male","group D","some high school","free/reduced","none","42","47","37"
"male","group B","high school","standard","completed","78","63","65"
"female","group C","bachelor's degree","standard","none","61","67","72"
"female","group B","high school","standard","none","32","44","44"
"male","group D","associate's degree","standard","none","74","68","62"
"female","group C","some college","standard","none","52","51","55"
"female","group D","some high school","standard","none","85","92","94"
"female","group D","bachelor's degree","free/reduced","none","55","64","64"
"male","group B","some high school","free/reduced","none","60","65","58"
"female","group B","high school","standard","none","59","76","78"
"male","group C","some high school","standard","none","62","71","66"
"male","group D","associate's degree","free/reduced","completed","77","78","78"
"male","group A","master's degree","free/reduced","none","43","47","40"
"female","group D","high school","free/reduced","none","63","71","65"
"female","group C","high school","standard","none","73","72","74"
"male","group B","high school","standard","none","72","65","58"
"male","group B","some high school","standard","completed","74","77","72"
"female","group D","some college","standard","none","51","58","62"
"male","group C","some college","standard","completed","78","67","71"
"male","group C","some high school","standard","none","92","86","82"
"female","group B","high school","standard","none","47","58","60"
"female","group C","some high school","free/reduced","none","37","49","40"
"male","group D","high school","standard","none","49","41","45"
"female","group C","some college","standard","none","81","87","84"
"male","group A","bachelor's degree","standard","none","76","71","70"
"male","group C","some college","standard","none","86","78","76"
"male","group A","some high school","standard","none","62","50","50"
"male","group A","high school","standard","none","42","42","34"
"male","group B","high school","free/reduced","none","45","41","36"
"female","group D","bachelor's degree","free/reduced","none","69","78","79"
"male","group C","associate's degree","free/reduced","none","87","83","76"
"female","group C","high school","standard","completed","72","94","92"
"female","group D","some high school","free/reduced","none","21","39","32"
"male","group D","associate's degree","free/reduced","none","88","88","80"
"male","group A","some college","free/reduced","none","69","70","63"
"male","group C","high school","standard","none","82","66","63"
"male","group B","associate's degree","standard","completed","76","78","75"
"female","group C","associate's degree","standard","completed","89","83","88"
"female","group D","master's degree","standard","completed","82","100","100"
"female","group E","high school","standard","none","84","87","88"
"female","group D","high school","standard","completed","63","85","81"
"female","group E","bachelor's degree","standard","completed","83","87","92"
"female","group D","associate's degree","standard","completed","75","88","92"
"male","group C","high school","standard","completed","72","75","74"
"female","group D","some college","free/reduced","none","31","43","44"
"male","group A","associate's degree","standard","none","96","84","80"
"male","group C","high school","standard","none","80","74","73"
"male","group A","master's degree","standard","none","63","63","64"
"male","group C","high school","standard","none","69","65","59"
"male","group E","some high school","free/reduced","none","45","35","40"
"female","group D","some college","standard","none","68","75","76"
"female","group C","some high school","standard","none","64","74","71"
"female","group D","some high school","standard","completed","63","68","72"
"female","group C","bachelor's degree","standard","none","80","86","86"
"male","group C","some college","standard","completed","75","79","76"
"male","group C","associate's degree","standard","none","62","65","58"
"female","group D","associate's degree","free/reduced","none","65","80","75"
"male","group E","some high school","free/reduced","completed","93","94","86"
"male","group C","high school","standard","none","61","59","52"
"male","group D","some college","standard","completed","93","85","94"
"male","group A","bachelor's degree","free/reduced","none","61","45","38"
"male","group C","high school","free/reduced","completed","59","66","61"
"female","group C","some college","free/reduced","none","23","37","34"
"female","group B","bachelor's degree","standard","none","95","93","96"
"female","group D","high school","free/reduced","none","54","56","51"
"female","group A","some college","free/reduced","completed","52","67","68"
"female","group B","bachelor's degree","free/reduced","completed","72","93","91"
"female","group B","high school","standard","completed","52","66","67"
"female","group B","associate's degree","standard","none","67","77","77"
"female","group C","associate's degree","free/reduced","none","59","74","71"
"female","group C","high school","standard","completed","67","84","83"
"male","group D","associate's degree","standard","none","88","75","82"
"female","group C","some college","standard","none","51","61","59"
"male","group B","some high school","free/reduced","completed","65","78","76"
"female","group C","high school","free/reduced","none","34","49","47"
"female","group C","some college","standard","completed","63","74","70"
"male","group C","high school","standard","none","72","69","71"
"female","group D","some high school","standard","none","78","81","77"
"female","group C","some college","free/reduced","none","55","56","58"
"female","group C","high school","free/reduced","none","61","77","71"
"female","group E","high school","standard","none","80","84","84"
"male","group D","some high school","standard","none","76","67","73"
"female","group D","associate's degree","free/reduced","none","65","77","82"
"female","group C","high school","free/reduced","completed","35","38","37"
"female","group D","associate's degree","standard","none","70","84","84"
"male","group B","bachelor's degree","standard","none","68","66","64"
"male","group B","some college","standard","completed","82","74","84"
"male","group B","some high school","free/reduced","none","38","55","42"
"male","group C","some high school","free/reduced","none","69","74","68"
"male","group B","some high school","free/reduced","completed","65","74","68"
"female","group B","master's degree","free/reduced","none","61","62","61"
"male","group B","associate's degree","standard","none","66","68","60"
"female","group E","some college","standard","none","58","56","59"
"male","group D","high school","standard","none","70","67","67"
"female","group A","high school","standard","completed","63","65","63"
"male","group C","high school","standard","none","80","77","71"
"male","group D","some college","free/reduced","none","49","44","48"
"male","group D","high school","free/reduced","none","63","56","56"
"male","group A","some college","standard","none","77","71","70"
"female","group B","associate's degree","free/reduced","none","59","63","67"
"female","group B","master's degree","standard","none","70","74","80"
"male","group D","some college","standard","completed","80","82","77"
"male","group B","some high school","standard","none","69","70","70"
"female","group B","associate's degree","free/reduced","completed","59","74","75"
"male","group C","high school","standard","none","57","55","44"
"female","group E","some high school","standard","none","45","52","46"
"female","group D","bachelor's degree","standard","completed","72","83","85"
"male","group D","some college","standard","none","89","87","93"
"male","group C","high school","standard","none","79","70","73"
"female","group B","high school","standard","none","60","74","64"
"male","group E","high school","free/reduced","none","33","17","12"
"male","group B","bachelor's degree","standard","none","88","91","86"
"male","group C","associate's degree","standard","completed","93","87","84"
"female","group D","some college","standard","none","86","97","91"
"male","group E","some high school","free/reduced","completed","77","62","60"
"male","group B","master's degree","standard","none","64","49","42"
"male","group A","bachelor's degree","free/reduced","none","76","72","75"
"male","group D","some high school","free/reduced","none","65","63","65"
"male","group D","associate's degree","standard","none","82","71","70"
"female","group B","some high school","standard","none","50","57","53"
"male","group B","some high school","free/reduced","completed","47","49","50"
"female","group D","bachelor's degree","standard","completed","66","74","79"
